query,competing_urls,impressions_W1,clicks_W1,top_url,top_url_market,top_url_locale,top_url_section,best_position,cannibalisation_type,markets_involved,locales_involved,url_detail
sick note online,2,46,0,https://www.myglobalhealth.online/ireland/sick-leave,Ireland,,market_home,42.6,wrong_locale,Ireland,es,https://www.myglobalhealth.online/ireland/sick-leave [35i/0c/p53] ;; https://www.myglobalhealth.online/ireland/es/health/sick-cert-online [11i/0c/p43]
consulta online,4,45,0,https://www.myglobalhealth.online/portugal/es/services/consulta-medica,Portugal,es,services,7.0,cross_market+wrong_locale,Ireland|Portugal|Spain,es|pt,https://www.myglobalhealth.online/portugal/es/services/consulta-medica [23i/0c/p74] ;; https://www.myglobalhealth.online/portugal/pt [16i/0c/p60] ;; https://www.myglobalhealth.online/ireland/pt [3i/0c/p7] ;; https://www.myglobalhealth.online/spain/es [3i/0c/p35]
consulta online médico,3,45,0,https://www.myglobalhealth.online/portugal/pt,Portugal,pt,market_home,40.0,cross_market+wrong_locale,Portugal|Spain,es|pt,https://www.myglobalhealth.online/portugal/pt [33i/0c/p60] ;; https://www.myglobalhealth.online/portugal/es/services/consulta-medica [11i/0c/p97] ;; https://www.myglobalhealth.online/spain/es [1i/0c/p40]
sick cert ireland,3,45,0,https://www.myglobalhealth.online/ireland/sick-leave,Ireland,,market_home,2.0,wrong_locale,Ireland,en|es,https://www.myglobalhealth.online/ireland/sick-leave [36i/0c/p48] ;; https://www.myglobalhealth.online/ireland/es/health/sick-cert-online [8i/0c/p33] ;; https://www.myglobalhealth.online/ireland/en/blog/sick-certificate-ireland-employee-rights [1i/0c/p2]
consulta online clinico geral,3,44,0,https://www.myglobalhealth.online/portugal/pt,Portugal,pt,market_home,54.8,cross_market+wrong_locale,Ireland|Portugal,es|pt,https://www.myglobalhealth.online/portugal/pt [28i/0c/p55] ;; https://www.myglobalhealth.online/portugal/es/services/consulta-medica [11i/0c/p85] ;; https://www.myglobalhealth.online/ireland/pt [5i/0c/p81]
doctor appointment,4,43,0,https://www.myglobalhealth.online/romania/en,Romania,en,market_home,9.6,cross_market+wrong_locale,Brazil|Czechia|Romania,en|ro,https://www.myglobalhealth.online/romania/en [39i/0c/p10] ;; https://www.myglobalhealth.online/czechia/en [2i/0c/p30] ;; https://www.myglobalhealth.online/brazil/en [1i/0c/p11] ;; https://www.myglobalhealth.online/romania/ro [1i/0c/p55]
consulta dermatologo online,3,43,0,https://www.myglobalhealth.online/spain/es/blog/dermatologo-online-que-puede-resolver,Spain,es,blog,19.5,wrong_locale,Spain,en|es|pt,https://www.myglobalhealth.online/spain/es/blog/dermatologo-online-que-puede-resolver [28i/0c/p19] ;; https://www.myglobalhealth.online/spain/en/services/dermatologia-especialista-online [9i/0c/p91] ;; https://www.myglobalhealth.online/spain/pt/blog/dermatologista-online-espanha [6i/0c/p82]
dermatología online,2,41,0,https://www.myglobalhealth.online/spain/es/blog/dermatologo-online-que-puede-resolver,Spain,es,blog,20.0,wrong_locale,Spain,en|es,https://www.myglobalhealth.online/spain/es/blog/dermatologo-online-que-puede-resolver [28i/0c/p20] ;; https://www.myglobalhealth.online/spain/en/services/dermatologia-especialista-online [13i/0c/p72]
consulta online clínico geral,3,41,0,https://www.myglobalhealth.online/portugal/pt,Portugal,pt,market_home,49.3,cross_market+wrong_locale,Ireland|Portugal,es|pt,https://www.myglobalhealth.online/portugal/pt [27i/0c/p49] ;; https://www.myglobalhealth.online/portugal/es/services/consulta-medica [9i/0c/p88] ;; https://www.myglobalhealth.online/ireland/pt [5i/0c/p81]
dr telmo coelho psiquiatra,2,41,3,https://www.myglobalhealth.online/portugal/pt/doctors/dr-telmo-coelho,Portugal,pt,doctors,4.7,no,Portugal,pt,https://www.myglobalhealth.online/portugal/pt/doctors/dr-telmo-coelho [38i/3c/p5] ;; https://www.myglobalhealth.online/pt/portugal-doctors/dr-telmo-coelho [3i/0c/p5]
online medical helpline,2,39,0,https://www.myglobalhealth.online/spain/es,Spain,es,market_home,38.8,no,Spain,es,https://www.myglobalhealth.online/spain/es [27i/0c/p39] ;; https://www.myglobalhealth.online/spain/es/contact [12i/0c/p50]
dermatologo online,3,39,0,https://www.myglobalhealth.online/spain/es/blog/dermatologo-online-que-puede-resolver,Spain,es,blog,17.2,wrong_locale,Spain,en|es|pt,https://www.myglobalhealth.online/spain/es/blog/dermatologo-online-que-puede-resolver [29i/0c/p17] ;; https://www.myglobalhealth.online/spain/en/services/dermatologia-especialista-online [8i/0c/p70] ;; https://www.myglobalhealth.online/spain/pt/blog/dermatologista-online-espanha [2i/0c/p76]
ahmed maklad,4,39,5,https://www.myglobalhealth.online/ireland/en/doctors/dr-ahmed-maklad,Ireland,en,doctors,1.4,cross_market,Czechia|Ireland,cs|en,https://www.myglobalhealth.online/ireland/en/doctors/dr-ahmed-maklad [20i/2c/p3] ;; https://www.myglobalhealth.online/czechia-doctors/mudr-ahmed-maklad [11i/0c/p6] ;; https://www.myglobalhealth.online/czechia/cs/doctors/dr-ahmed-maklad [5i/3c/p1] ;; https://www.myglobalhealth.online/ireland-doctors/dr-ahmed-maklad [3i/0c/p3]
dermatologo atencion online,2,38,0,https://www.myglobalhealth.online/spain/es/blog/dermatologo-online-que-puede-resolver,Spain,es,blog,18.6,wrong_locale,Spain,en|es,https://www.myglobalhealth.online/spain/es/blog/dermatologo-online-que-puede-resolver [31i/0c/p19] ;; https://www.myglobalhealth.online/spain/en/services/dermatologia-especialista-online [7i/0c/p91]
how much is illness benefit,2,38,0,https://www.myglobalhealth.online/ireland/en/blog/illness-benefit-ireland-how-to-claim,Ireland,en,blog,16.3,no,Ireland,en,https://www.myglobalhealth.online/ireland/en/blog/illness-benefit-ireland-how-to-claim [21i/0c/p44] ;; https://www.myglobalhealth.online/ireland/en/blog/illness-benefit-payment-ireland-rate-tax-timing [17i/0c/p16]
