date,page,searcher_country,device,search_type,clicks,impressions,ctr,avg_position,row_key,refresh_id,data_state,source_timezone,data_quality,source
2026-07-21,https://www.myglobalhealth.online/ireland/de/doctors/dr-mohammed-omar,deu,MOBILE,web,0,1,0,1,2026-07-21|https://www.myglobalhealth.online/ireland/de/doctors/dr-mohammed-omar|deu|MOBILE|web,R2026-09-15-GSC-B,final,America/Los_Angeles,ok,openseo:get_search_console_performance
2026-07-21,https://www.myglobalhealth.online/ireland/de/doctors/dr-tiago-miguel-figueira,deu,MOBILE,web,0,1,0,9,2026-07-21|https://www.myglobalhealth.online/ireland/de/doctors/dr-tiago-miguel-figueira|deu|MOBILE|web,R2026-09-15-GSC-B,final,America/Los_Angeles,ok,openseo:get_search_console_performance
2026-07-21,https://www.myglobalhealth.online/ireland/de/services/weight-management-consultation,deu,DESKTOP,web,0,1,0,16,2026-07-21|https://www.myglobalhealth.online/ireland/de/services/weight-management-consultation|deu|DESKTOP|web,R2026-09-15-GSC-B,final,America/Los_Angeles,ok,openseo:get_search_console_performance
2026-07-21,https://www.myglobalhealth.online/ireland/en,gbr,DESKTOP,web,0,1,0,38,2026-07-21|https://www.myglobalhealth.online/ireland/en|gbr|DESKTOP|web,R2026-09-15-GSC-B,final,America/Los_Angeles,ok,openseo:get_search_console_performance
2026-07-21,https://www.myglobalhealth.online/ireland/en,irl,MOBILE,web,0,1,0,9,2026-07-21|https://www.myglobalhealth.online/ireland/en|irl|MOBILE|web,R2026-09-15-GSC-B,final,America/Los_Angeles,ok,openseo:get_search_console_performance
2026-07-21,https://www.myglobalhealth.online/ireland/en/blog/hand-foot-and-mouth-disease-signs-and-treatment,deu,DESKTOP,web,0,1,0,77,2026-07-21|https://www.myglobalhealth.online/ireland/en/blog/hand-foot-and-mouth-disease-signs-and-treatment|deu|DESKTOP|web,R2026-09-15-GSC-B,final,America/Los_Angeles,ok,openseo:get_search_console_performance
2026-07-21,https://www.myglobalhealth.online/ireland/en/blog/hand-foot-and-mouth-disease-signs-and-treatment,gbr,DESKTOP,web,0,90,0,89.61111111111111,2026-07-21|https://www.myglobalhealth.online/ireland/en/blog/hand-foot-and-mouth-disease-signs-and-treatment|gbr|DESKTOP|web,R2026-09-15-GSC-B,final,America/Los_Angeles,ok,openseo:get_search_console_performance
2026-07-21,https://www.myglobalhealth.online/ireland/en/blog/hand-foot-and-mouth-disease-signs-and-treatment,mus,DESKTOP,web,0,1,0,87,2026-07-21|https://www.myglobalhealth.online/ireland/en/blog/hand-foot-and-mouth-disease-signs-and-treatment|mus|DESKTOP|web,R2026-09-15-GSC-B,final,America/Los_Angeles,ok,openseo:get_search_console_performance
2026-07-21,https://www.myglobalhealth.online/ireland/en/doctors/dr-fahad-farooq,irl,DESKTOP,web,0,1,0,7,2026-07-21|https://www.myglobalhealth.online/ireland/en/doctors/dr-fahad-farooq|irl|DESKTOP|web,R2026-09-15-GSC-B,final,America/Los_Angeles,ok,openseo:get_search_console_performance
2026-07-21,https://www.myglobalhealth.online/ireland/en/doctors/dr-fahad-farooq,irl,MOBILE,web,0,1,0,11,2026-07-21|https://www.myglobalhealth.online/ireland/en/doctors/dr-fahad-farooq|irl|MOBILE|web,R2026-09-15-GSC-B,final,America/Los_Angeles,ok,openseo:get_search_console_performance
2026-07-21,https://www.myglobalhealth.online/ireland/en/doctors/dr-grainne-ahern,irl,MOBILE,web,0,2,0,5,2026-07-21|https://www.myglobalhealth.online/ireland/en/doctors/dr-grainne-ahern|irl|MOBILE|web,R2026-09-15-GSC-B,final,America/Los_Angeles,ok,openseo:get_search_console_performance
2026-07-21,https://www.myglobalhealth.online/ireland/en/lab-tests,gbr,DESKTOP,web,0,2,0,43.5,2026-07-21|https://www.myglobalhealth.online/ireland/en/lab-tests|gbr|DESKTOP|web,R2026-09-15-GSC-B,final,America/Los_Angeles,ok,openseo:get_search_console_performance
2026-07-21,https://www.myglobalhealth.online/ireland/en/lab-tests,irl,MOBILE,web,0,4,0,8.5,2026-07-21|https://www.myglobalhealth.online/ireland/en/lab-tests|irl|MOBILE|web,R2026-09-15-GSC-B,final,America/Los_Angeles,ok,openseo:get_search_console_performance
2026-07-21,https://www.myglobalhealth.online/ireland/en/lab-tests,vnm,DESKTOP,web,0,1,0,20,2026-07-21|https://www.myglobalhealth.online/ireland/en/lab-tests|vnm|DESKTOP|web,R2026-09-15-GSC-B,final,America/Los_Angeles,ok,openseo:get_search_console_performance
2026-07-21,https://www.myglobalhealth.online/ireland/en/lab-tests/full-blood-count,aus,DESKTOP,web,0,1,0,51,2026-07-21|https://www.myglobalhealth.online/ireland/en/lab-tests/full-blood-count|aus|DESKTOP|web,R2026-09-15-GSC-B,final,America/Los_Angeles,ok,openseo:get_search_console_performance
2026-07-21,https://www.myglobalhealth.online/ireland/en/lab-tests/full-blood-count,gbr,DESKTOP,web,0,1,0,84,2026-07-21|https://www.myglobalhealth.online/ireland/en/lab-tests/full-blood-count|gbr|DESKTOP|web,R2026-09-15-GSC-B,final,America/Los_Angeles,ok,openseo:get_search_console_performance
2026-07-21,https://www.myglobalhealth.online/ireland/en/lab-tests/full-blood-count,irl,MOBILE,web,0,1,0,56,2026-07-21|https://www.myglobalhealth.online/ireland/en/lab-tests/full-blood-count|irl|MOBILE|web,R2026-09-15-GSC-B,final,America/Los_Angeles,ok,openseo:get_search_console_performance
2026-07-21,https://www.myglobalhealth.online/ireland/en/lab-tests/thyroid-function-test,gbr,DESKTOP,web,0,1,0,99,2026-07-21|https://www.myglobalhealth.online/ireland/en/lab-tests/thyroid-function-test|gbr|DESKTOP|web,R2026-09-15-GSC-B,final,America/Los_Angeles,ok,openseo:get_search_console_performance
2026-07-21,https://www.myglobalhealth.online/ireland/en/see-a-specialist,irl,DESKTOP,web,0,1,0,1,2026-07-21|https://www.myglobalhealth.online/ireland/en/see-a-specialist|irl|DESKTOP|web,R2026-09-15-GSC-B,final,America/Los_Angeles,ok,openseo:get_search_console_performance
2026-07-21,https://www.myglobalhealth.online/ireland/en/see-a-specialist,irl,MOBILE,web,0,1,0,1,2026-07-21|https://www.myglobalhealth.online/ireland/en/see-a-specialist|irl|MOBILE|web,R2026-09-15-GSC-B,final,America/Los_Angeles,ok,openseo:get_search_console_performance
