observed_at,source_domain,source_url,target_url,anchor,rel_attribute,link_status,first_seen,last_seen,provider,provider_metric_name,provider_metric_value,target_country,relevance,opportunity,evidence,resolved_target_url,resolved_http_status,rel_attributes_raw
2026-09-15,wix.to,https://wix.to/Th8hmXA,https://www.myglobalhealth.online/booking-calendar/sp-consulta-medica-pediatrica?utm_medium=page_links,,dofollow,live,2026-06-26,,DataForSEO via OpenSEO,domain_rank|spam_score,70|0,spain,directory,keep,seo/tracking/raw/2026-09-15/A7-market/backlinks-profile-as_is-page1.json,https://www.myglobalhealth.online/spain/es/services/pediatria-online?utm_medium=page_links,200,
2026-09-15,wix.to,https://wix.to/tkG1bOv,https://www.myglobalhealth.online/booking-calendar/renovacion-de-tratamiento?utm_medium=page_links,,dofollow,live,2025-04-21,,DataForSEO via OpenSEO,domain_rank|spam_score,70|0,spain,directory,keep,seo/tracking/raw/2026-09-15/A7-market/backlinks-profile-as_is-page1.json,https://www.myglobalhealth.online/spain/es/services/renovacion-tratamiento-online?utm_medium=page_links,200,
2026-09-15,wix.to,https://wix.to/x3fAbCW,https://www.myglobalhealth.online/booking-calendar/consulta-p%25C3%25A9rdida-de-peso?utm_medium=page_links,,dofollow,live,2025-04-21,,DataForSEO via OpenSEO,domain_rank|spam_score,70|0,ireland,directory,update-legacy-target,seo/tracking/raw/2026-09-15/A7-market/backlinks-profile-as_is-page1.json,https://www.myglobalhealth.online/ireland/en/book?utm_medium=page_links,200,
2026-09-15,wix.to,https://wix.to/uE1vXtn,https://www.myglobalhealth.online/booking-calendar/sp-consulta-medicina-est%C3%A9tica-online?utm_medium=page_links,,dofollow,live,2026-06-26,,DataForSEO via OpenSEO,domain_rank|spam_score,70|0,spain,directory,update-legacy-target,seo/tracking/raw/2026-09-15/A7-market/backlinks-profile-as_is-page1.json,https://www.myglobalhealth.online/spain/es/book?utm_medium=page_links,200,
2026-09-15,wix.to,https://wix.to/mrqTjr3,https://www.myglobalhealth.online/booking-calendar/consulta-para-diabetes?utm_medium=page_links,,dofollow,broken,2025-04-21,,DataForSEO via OpenSEO,domain_rank|spam_score,70|0,portugal,directory,reclaim-broken,seo/tracking/raw/2026-09-15/A7-market/backlinks-profile-as_is-page1.json,https://www.myglobalhealth.online/portugal/pt/book?utm_medium=page_links,200,
2026-09-15,wix.to,https://wix.to/DdnvbFD,https://www.myglobalhealth.online/booking-calendar/consulta-medica?utm_medium=page_links,,dofollow,broken,2025-04-21,,DataForSEO via OpenSEO,domain_rank|spam_score,70|0,portugal,directory,reclaim-broken,seo/tracking/raw/2026-09-15/A7-market/backlinks-profile-as_is-page1.json,https://www.myglobalhealth.online/portugal/pt/services/consulta-medica?utm_medium=page_links,200,
2026-09-15,wix.to,https://wix.to/mE3TH7z,https://www.myglobalhealth.online/booking-calendar/ie-gp-family-medicine?utm_medium=page_links,,dofollow,live,2026-06-12,,DataForSEO via OpenSEO,domain_rank|spam_score,70|0,ireland,directory,keep,seo/tracking/raw/2026-09-15/A7-market/backlinks-profile-as_is-page1.json,https://www.myglobalhealth.online/ireland/en/gp-consultation-online?utm_medium=page_links,200,
2026-09-15,wix.to,https://wix.to/HBPHsus,https://www.myglobalhealth.online/booking-calendar/driving-license-medical-certificate?utm_medium=page_links,,dofollow,live,2025-07-03,,DataForSEO via OpenSEO,domain_rank|spam_score,70|0,ireland,directory,update-legacy-target,seo/tracking/raw/2026-09-15/A7-market/backlinks-profile-as_is-page1.json,https://www.myglobalhealth.online/ireland/en/book?utm_medium=page_links,200,
2026-09-15,wix.to,https://wix.to/xDEiPYh,https://www.myglobalhealth.online/booking-calendar/migraine-consultation?utm_medium=page_links,,dofollow,live,2025-04-21,,DataForSEO via OpenSEO,domain_rank|spam_score,70|0,ireland,directory,keep,seo/tracking/raw/2026-09-15/A7-market/backlinks-profile-as_is-page1.json,https://www.myglobalhealth.online/ireland/en/services/neurology-specialist-consultation?utm_medium=page_links,200,
2026-09-15,wix.to,https://wix.to/Vz0mW9l,https://www.myglobalhealth.online/booking-calendar/pain-management-consultation?utm_medium=page_links,,dofollow,live,2025-04-21,,DataForSEO via OpenSEO,domain_rank|spam_score,70|0,ireland,directory,keep,seo/tracking/raw/2026-09-15/A7-market/backlinks-profile-as_is-page1.json,https://www.myglobalhealth.online/ireland/en/services/musculoskeletal-pain-assessment?utm_medium=page_links,200,
2026-09-15,wix.to,https://wix.to/u3Zshki,https://www.myglobalhealth.online/booking-calendar/consulta-de-oncolog%25C3%25ADa?utm_medium=page_links,,dofollow,live,2025-04-21,,DataForSEO via OpenSEO,domain_rank|spam_score,70|0,ireland,directory,update-legacy-target,seo/tracking/raw/2026-09-15/A7-market/backlinks-profile-as_is-page1.json,https://www.myglobalhealth.online/ireland/en/book?utm_medium=page_links,200,
2026-09-15,wix.to,https://wix.to/1UHtaKF,https://www.myglobalhealth.online/booking-calendar/consulta-de-endocrinolog%25C3%25ADa?utm_medium=page_links,,dofollow,live,2025-04-21,,DataForSEO via OpenSEO,domain_rank|spam_score,70|0,ireland,directory,update-legacy-target,seo/tracking/raw/2026-09-15/A7-market/backlinks-profile-as_is-page1.json,https://www.myglobalhealth.online/ireland/en/book?utm_medium=page_links,200,
2026-09-15,wix.to,https://wix.to/Ze8mVub,https://www.myglobalhealth.online/booking-calendar/consulta-de-psicolog%25C3%25ADa?utm_medium=page_links,,dofollow,live,2025-04-21,,DataForSEO via OpenSEO,domain_rank|spam_score,70|0,ireland,directory,update-legacy-target,seo/tracking/raw/2026-09-15/A7-market/backlinks-profile-as_is-page1.json,https://www.myglobalhealth.online/ireland/en/book?utm_medium=page_links,200,
2026-09-15,wix.to,https://wix.to/8KEguC3,https://www.myglobalhealth.online/booking-calendar/consulta-de-gastroenterolog%25C3%25ADa?utm_medium=page_links,,dofollow,live,2025-04-21,,DataForSEO via OpenSEO,domain_rank|spam_score,70|0,ireland,directory,update-legacy-target,seo/tracking/raw/2026-09-15/A7-market/backlinks-profile-as_is-page1.json,https://www.myglobalhealth.online/ireland/en/book?utm_medium=page_links,200,
