url,locale,page_type,in_sitemap,gsc_clicks,gsc_impressions,gsc_ctr,gsc_position,inspection_verdict,coverage_state,last_crawl,google_canonical,user_canonical,page_fetch_state,notes
https://www.myglobalhealth.online/czechia/es/doctors/khoiamul-islam,es,doctor-profile,yes,0,1,0,3,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/es/doctors/mudr-romana-pavlu,es,doctor-profile,yes,,,,,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/es/doctors/mudr-vojtech-cerny,es,doctor-profile,yes,,,,,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/es/doctors/mudr-yasmin-holz,es,doctor-profile,yes,,,,,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/es/gp-consultation-online,es,gp-hub,yes,0,3,0,7.333333333333333,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/es/legal,es,legal-hub,yes,,,,,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/es/legal/complaints-procedure,es,legal-detail,yes,0,5,0,11.4,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/es/legal/privacy-policy,es,legal-detail,yes,,,,,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/es/legal/refund-policy,es,legal-detail,yes,,,,,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/es/legal/terms-of-service,es,legal-detail,yes,,,,,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/es/press,es,standalone,yes,,,,,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/es/pricing,es,standalone,yes,,,,,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/es/services/bolesti-pohyboveho-aparatu,es,service,yes,0,3,0,67,,,,,,,URL Inspection not sampled
https://www.myglobalhealth.online/czechia/es/services/cestovni-medicina-praha,es,service,yes,0,3,0,3.6666666666666665,,,,,,,URL Inspection not sampled
