"domain","url","title","ranking_keyword_count","best_position","estimated_traffic","keyword_search_volume_sum","top_keywords","source","collected_at"
"cuf.pt","https://www.cuf.pt/saude-a-z/conjuntivite","Conjuntivite: o que é, sintomas e tratamento","1","2","3009.6","9900","conjuntivite","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"cuf.pt","https://www.cuf.pt/hospitais-e-clinicas/hospital-cuf-leiria","Hospital CUF Leiria","1","1","3009.6","9900","cuf leiria","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"cuf.pt","https://www.cuf.pt/hospitais-e-clinicas/hospital-cuf-santarem","Hospital CUF Santarém","1","1","3009.6","9900","cuf santarem","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"cuf.pt","https://www.cuf.pt/mais-saude/ebola-tudo-o-que-deve-saber","Ébola: tudo o que deve saber","1","2","3009.6","9900","ebola","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"cuf.pt","https://www.cuf.pt/saude-a-z/meningite","Meningite: o que é, sintomas e tratamento","1","2","3009.6","9900","meningite","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"cuf.pt","https://www.cuf.pt/mais-saude/mononucleose-causas-tratamento-e-cuidados","Mononucleose: causas, tratamento e cuidados","1","2","3009.6","9900","mononucleose","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"cuf.pt","https://www.cuf.pt/mais-saude/como-se-trata-e-previne-o-pe-de-atleta","Como se trata e previne o pé de atleta?","1","2","3009.6","9900","pe de atleta","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"hospitaldaluz.pt","https://www.hospitaldaluz.pt/pt/saude-e-bem-estar/afinal-o-que-e-o-core","Afinal o que é o core?","1","1","3009.6","9900","core","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"lusiadas.pt","https://www.lusiadas.pt/blog/sintomas-tratamentos/doencas/dst-conheca-doencas-sexualmente-transmissiveis","DST: conheça as doenças sexualmente transmissíveis","1","2","3009.6","9900","dsts","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"lusiadas.pt","https://www.lusiadas.pt/blog/prevencao-estilo-vida/fui-picado-por-um-peixe-aranha-que-devo-fazer","Fui picado por um peixe-aranha: o que devo fazer?","1","3","3009.6","9900","peixe aranha","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"cuf.pt","https://www.cuf.pt/mais-saude/escarlatina-conheca-os-sintomas-e-saiba-como-se-transmite","Escarlatina: conheça os sintomas e saiba como se transmite","1","4","2932.2","18100","escarlatina","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"hospitaldaluz.pt","https://www.hospitaldaluz.pt/pt/dicionario-de-saude/doencas-figado-causas-fatores-risco-vigilancia","Doenças do fígado: causas, fatores de risco e vigilância","1","4","2932.2","18100","figado","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"medis.pt","https://www.medis.pt/mais-medis/dieta-e-nutricao/diospiro-para-um-outono-mais-saudavel/","Dióspiro: fique a conhecer os benefícios para a saúde ...","5","4","2835.72","14980","diospiro | calorias diospiro | diospiro calorias | dióspiro calorias | dióspiros calorias","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"hospitaldaluz.pt","https://www.hospitaldaluz.pt/en/health-and-wellness/bedbugs-learn-about-them-and-prevent-infestations","Bedbugs: Learn about them and prevent infestations","2","2","2675.2","8800","bed bug | bed bugs","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"lusiadas.pt","https://www.lusiadas.pt/blog/sintomas-tratamentos/lipoma-que-causas-tratamento","Lipoma: o que é, causas e tratamento","2","2","2675.2","8800","lipoma lipoma | lipomas","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"lusiadas.pt","https://www.lusiadas.pt/blog/nutricao-dieta/exercicio/creatina-que-quais-beneficios","Creatina: O Que É e Quais os Benefícios","1","6","2668.95","40500","creatina","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"hospitaldaluz.pt","https://www.hospitaldaluz.pt/pt/encontre-um-medico/749/filipa-rocha-paris","Filipa Rocha Páris - Médicos","1","5","2636.83","27100","páris","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"lusiadas.pt","https://www.lusiadas.pt/blog/prevencao-estilo-vida/pilates-clinico-para-que-serve-quais-vantagens","Pilates clínico: para que serve e quais as vantagens?","1","9","2636.83","27100","pilates","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"lusiadas.pt","https://www.lusiadas.pt/blog/prevencao-estilo-vida/bem-estar/que-deja-vu","O que é o déjà vu?","3","3","2624.4","16200","deja vu | deja vus | dejavu","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"cuf.pt","https://www.cuf.pt/saude-a-z/clamidia-genital","Clamídia genital: o que é, sintomas e tratamento","1","2","2462.4","8100","clamídia","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"cuf.pt","https://www.cuf.pt/hospitais-e-clinicas/hospital-cuf-coimbra","Hospital CUF Coimbra","1","1","2462.4","8100","cuf coimbra","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"cuf.pt","https://www.cuf.pt/mais-saude/depilacao-laser-e-segura","A depilação a laser é segura?","1","5","2462.4","8100","depilação a laser","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"cuf.pt","https://www.cuf.pt/saude-a-z","Saúde A-Z: Doenças, Sintomas e Tratamentos","1","2","2462.4","8100","doenças","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"cuf.pt","https://www.cuf.pt/saude-a-z/foliculite","Foliculite: o que é, sintomas e tratamento","1","2","2462.4","8100","foliculite","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
"cuf.pt","https://www.cuf.pt/saude-a-z/sarampo","Sarampo: o que é, sintomas e tratamento","1","2","2462.4","8100","sarampo","OpenSEO/DataForSEO ranked keywords; bounded portfolio sample","2026-08-31"
