"url","locale","page_type","discovery","http_status","canonical","robots"
"https://www.myglobalhealth.online/spain/ro/legal","ro","legal","sitemap","200","https://www.myglobalhealth.online/spain/ro/legal","index, follow"
"https://www.myglobalhealth.online/spain/ro/legal/complaints-procedure","ro","legal","sitemap","200","https://www.myglobalhealth.online/spain/ro/legal/complaints-procedure","index, follow"
"https://www.myglobalhealth.online/spain/ro/legal/cookie-policy","ro","legal","internal link","200","https://www.myglobalhealth.online/spain/ro/legal/cookie-policy","noindex, follow"
"https://www.myglobalhealth.online/spain/ro/legal/medical-disclaimer","ro","legal","internal link","200","https://www.myglobalhealth.online/spain/ro/legal/medical-disclaimer","noindex, follow"
"https://www.myglobalhealth.online/spain/ro/legal/privacy-policy","ro","legal","sitemap","200","https://www.myglobalhealth.online/spain/ro/legal/privacy-policy","index, follow"
"https://www.myglobalhealth.online/spain/ro/legal/refund-policy","ro","legal","sitemap","200","https://www.myglobalhealth.online/spain/ro/legal/refund-policy","index, follow"
"https://www.myglobalhealth.online/spain/ro/legal/terms-of-service","ro","legal","sitemap","200","https://www.myglobalhealth.online/spain/ro/legal/terms-of-service","index, follow"
"https://www.myglobalhealth.online/spain/ro/press","ro","press","sitemap","200","https://www.myglobalhealth.online/spain/ro/press","index, follow"
"https://www.myglobalhealth.online/spain/ro/pricing","ro","pricing","sitemap","200","https://www.myglobalhealth.online/spain/ro/pricing","index, follow"
"https://www.myglobalhealth.online/spain/ro/see-a-specialist","ro","see-a-specialist","sitemap","200","https://www.myglobalhealth.online/spain/ro/see-a-specialist","index, follow"
"https://www.myglobalhealth.online/spain/ro/services/caida-cabello-online","ro","service","sitemap","200","https://www.myglobalhealth.online/spain/ro/services/caida-cabello-online","index, follow"
"https://www.myglobalhealth.online/spain/ro/services/cardiologo-online","ro","service","sitemap","200","https://www.myglobalhealth.online/spain/ro/services/cardiologo-online","index, follow"
"https://www.myglobalhealth.online/spain/ro/services/consulta-diagnotico-vascular","ro","service","internal link","200","https://www.myglobalhealth.online/spain/ro/services/consulta-diagnotico-vascular","noindex, follow"
"https://www.myglobalhealth.online/spain/ro/services/consulta-flebologia-y-linfologia","ro","service","internal link","200","https://www.myglobalhealth.online/spain/ro/services/consulta-flebologia-y-linfologia","noindex, follow"
"https://www.myglobalhealth.online/spain/ro/services/consulta-medica-online","ro","service","sitemap","200","https://www.myglobalhealth.online/spain/ro/services/consulta-medica-online","index, follow"
"https://www.myglobalhealth.online/spain/ro/services/consulta-online-medicina-estetica","ro","service","internal link","200","https://www.myglobalhealth.online/spain/ro/services/consulta-online-medicina-estetica","noindex, follow"
"https://www.myglobalhealth.online/spain/ro/services/consulta-piel-online","ro","service","sitemap","200","https://www.myglobalhealth.online/spain/ro/services/consulta-piel-online","index, follow"
"https://www.myglobalhealth.online/spain/ro/services/consulta-salud-vascular-circulatoria","ro","service","internal link","200","https://www.myglobalhealth.online/spain/ro/services/consulta-salud-vascular-circulatoria","noindex, follow"
"https://www.myglobalhealth.online/spain/ro/services/control-peso-online","ro","service","sitemap","200","https://www.myglobalhealth.online/spain/ro/services/control-peso-online","index, follow"
"https://www.myglobalhealth.online/spain/ro/services/dejar-de-fumar-online","ro","service","sitemap","200","https://www.myglobalhealth.online/spain/ro/services/dejar-de-fumar-online","index, follow"
"https://www.myglobalhealth.online/spain/ro/services/derivaciones-pruebas-online","ro","service","sitemap","200","https://www.myglobalhealth.online/spain/ro/services/derivaciones-pruebas-online","index, follow"
"https://www.myglobalhealth.online/spain/ro/services/dermatologia-especialista-online","ro","service","sitemap","200","https://www.myglobalhealth.online/spain/ro/services/dermatologia-especialista-online","index, follow"
"https://www.myglobalhealth.online/spain/ro/services/enfermedades-cronicas-online","ro","service","sitemap","200","https://www.myglobalhealth.online/spain/ro/services/enfermedades-cronicas-online","index, follow"
"https://www.myglobalhealth.online/spain/ro/services/justificante-medico-online","ro","service","sitemap","200","https://www.myglobalhealth.online/spain/ro/services/justificante-medico-online","index, follow"
"https://www.myglobalhealth.online/spain/ro/services/medicina-viaje-online","ro","service","sitemap","200","https://www.myglobalhealth.online/spain/ro/services/medicina-viaje-online","index, follow"
"https://www.myglobalhealth.online/spain/ro/services/musculoesqueletico-online","ro","service","sitemap","200","https://www.myglobalhealth.online/spain/ro/services/musculoesqueletico-online","index, follow"
"https://www.myglobalhealth.online/spain/ro/services/neurologo-online","ro","service","internal link","404","https://www.myglobalhealth.online","noindex"
"https://www.myglobalhealth.online/spain/ro/services/pediatra-especialista-online","ro","service","internal link","404","https://www.myglobalhealth.online","noindex"
"https://www.myglobalhealth.online/spain/ro/services/pediatria-online","ro","service","sitemap","200","https://www.myglobalhealth.online/spain/ro/services/pediatria-online","index, follow"
"https://www.myglobalhealth.online/spain/ro/services/psicologo-online","ro","service","sitemap","200","https://www.myglobalhealth.online/spain/ro/services/psicologo-online","index, follow"
"https://www.myglobalhealth.online/spain/ro/services/psiquiatra-online","ro","service","sitemap","200","https://www.myglobalhealth.online/spain/ro/services/psiquiatra-online","index, follow"
"https://www.myglobalhealth.online/spain/ro/services/renovacion-tratamiento-online","ro","service","sitemap","200","https://www.myglobalhealth.online/spain/ro/services/renovacion-tratamiento-online","index, follow"
"https://www.myglobalhealth.online/spain/ro/services/salud-femenina-online","ro","service","sitemap","200","https://www.myglobalhealth.online/spain/ro/services/salud-femenina-online","index, follow"
"https://www.myglobalhealth.online/spain/ro/services/salud-masculina-online","ro","service","sitemap","200","https://www.myglobalhealth.online/spain/ro/services/salud-masculina-online","index, follow"
