rule_order_index,source,destination,permanent,statusCode,has,missing,locale
124,/:country(ireland)/:lang(en|pt|es|cs|ro|de)/family-medicine-consultation,/:country/:lang/chronic-disease-consultation,True,,,,
125,/:country(ireland)/:lang(en|pt|es|cs|ro|de)/pain-management-consultation,/:country/:lang/musculoskeletal-pain-assessment,True,,,,
126,/:country(ireland)/:lang(en|pt|es|cs|ro|de)/erectyle-dysfunction-consultation,/:country/:lang/mens-health-consultation,True,,,,
127,/:country(ireland)/:lang(en|pt|es|cs|ro|de)/treatment-refill,/:country/:lang/treatment-review,True,,,,
128,/:country(ireland)/:lang(en|pt|es|cs|ro|de)/referral-consultation,/:country/:lang/referral-and-investigations,True,,,,
129,/:country(ireland)/:lang(en|pt|es|cs|ro|de)/self-referral,/:country/:lang/referral-and-investigations,True,,,,
130,/:country/:lang(en|pt|es|cs|ro|de)/respiractory-infections,/:country/:lang/gp-consultation-online,True,,,,
131,/:country(ireland)/:lang(en|pt|es|cs|ro|de)/sick-leave,/:country/:lang/services/sick-certificate-ireland,True,,,,
132,/home,/,True,,,,
133,/partner-clinics,/,True,,,,
134,/home-delivery,/ireland/en/lab-tests,True,,,,
135,/category/health-education,/ireland/en/blog,True,,,,
136,/pricing-plans/list,/ireland/en/pricing,True,,,,
137,/pricing-plans/:slug,/ireland/en/pricing,True,,,,
138,/:locale(cs|es|pt|ro)/pricing-plans/:slug,/ireland/en/pricing,True,,,,
139,/services-1-4,/ireland/en,True,,,,
140,/:locale(cs|es|pt|ro)/services-1-4,/ireland/en,True,,,,
141,/online-prescription,/ireland/en/gp-consultation-online,True,,,,
142,/home-health-test,/ireland/en/lab-tests,True,,,,
143,/home-health-tests/psa-test-%28prostatic-specific-antigen%29,/ireland/en/lab-tests/psa-prostate-test,True,,,,
144,/:locale(cs|es|pt|ro)/home-health-tests/psa-test-%28prostatic-specific-antigen%29,/ireland/:locale/lab-tests/psa-prostate-test,True,,,,
145,/home-health-tests-1/psa-test-%28prostatic-specific-antigen%29,/ireland/en/lab-tests/psa-prostate-test,True,,,,
146,/:locale(cs|es|pt|ro)/home-health-tests-1/psa-test-%28prostatic-specific-antigen%29,/ireland/:locale/lab-tests/psa-prostate-test,True,,,,
147,/home-health-tests/amh-test-%28anti-m%C3%BCllerian-hormone%29,/ireland/en/lab-tests/amh-fertility-test,True,,,,
148,/:locale(cs|es|pt|ro)/home-health-tests/amh-test-%28anti-m%C3%BCllerian-hormone%29,/ireland/:locale/lab-tests/amh-fertility-test,True,,,,
149,/home-health-tests-1/amh-test-%28anti-m%C3%BCllerian-hormone%29,/ireland/en/lab-tests/amh-fertility-test,True,,,,
150,/:locale(cs|es|pt|ro)/home-health-tests-1/amh-test-%28anti-m%C3%BCllerian-hormone%29,/ireland/:locale/lab-tests/amh-fertility-test,True,,,,
151,/product-page/genetic-lactose-intolereance-test,/ireland/en/lab-tests/genetic-lactose-intolerance-test,True,,,,
152,/:locale(cs|es|pt|ro)/product-page/genetic-lactose-intolereance-test,/ireland/:locale/lab-tests/genetic-lactose-intolerance-test,True,,,,
153,/product-page/heart-health-home-test,/ireland/en/lab-tests/heart-health-cholesterol-test,True,,,,
154,/:locale(cs|es|pt|ro)/product-page/heart-health-home-test,/ireland/:locale/lab-tests/heart-health-cholesterol-test,True,,,,
155,/product-page/female-hormone-test,/ireland/en/lab-tests/female-hormone-test,True,,,,
156,/:locale(cs|es|pt|ro)/product-page/female-hormone-test,/ireland/:locale/lab-tests/female-hormone-test,True,,,,
157,/product-page/male-hormone-test,/ireland/en/lab-tests/male-hormone-test,True,,,,
158,/:locale(cs|es|pt|ro)/product-page/male-hormone-test,/ireland/:locale/lab-tests/male-hormone-test,True,,,,
159,/product-page/psa-test-prostatic-specific-antigen,/ireland/en/lab-tests/psa-prostate-test,True,,,,
160,/:locale(cs|es|pt|ro)/product-page/psa-test-prostatic-specific-antigen,/ireland/:locale/lab-tests/psa-prostate-test,True,,,,
161,/product-page/amh-test-anti-m%C3%BCllerian-hormone,/ireland/en/lab-tests/amh-fertility-test,True,,,,
