dropped_url_id,merged_into,raw_url_before
U000667,U000662,"/czechia-doctors/mudr-jana-cyplinska,4,8,0.5,11.25,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000668,U000662,"/czechia-doctors/mudr-jana-cyplinska,5,15,0.3333333333333333,10.066666666666666,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000669,U000662,"/czechia-doctors/mudr-jana-cyplinska,esp,0,1,0,3,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000670,U000662,"/czechia-doctors/mudr-jana-cyplinska,usa,0,1,0,1,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000672,U000671,"/czechia-doctors/mudr-libor-hlavaty,0,10,0,10,post_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000673,U000671,"/czechia-doctors/mudr-libor-hlavaty,0,216,0,13.625,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000674,U000671,"/czechia-doctors/mudr-libor-hlavaty,1,137,0.0072992700729927005,10.218978102189782,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000675,U000671,"/czechia-doctors/mudr-libor-hlavaty,1,191,0.005235602094240838,9.87434554973822,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000676,U000671,"/czechia-doctors/mudr-libor-hlavaty,1,215,0.004651162790697674,10.511627906976743,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000677,U000671,"/czechia-doctors/mudr-libor-hlavaty,1,234,0.004273504273504274,10.055555555555555,pre_launch,no,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000678,U000671,"/czechia-doctors/mudr-libor-hlavaty,aut,0,2,0,11,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000679,U000671,"/czechia-doctors/mudr-libor-hlavaty,che,0,1,0,20,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000680,U000671,"/czechia-doctors/mudr-libor-hlavaty,cze,1,402,0.0024875621890547263,11.823383084577115,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000681,U000671,"/czechia-doctors/mudr-libor-hlavaty,deu,0,7,0,5.142857142857143,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000682,U000671,"/czechia-doctors/mudr-libor-hlavaty,egy,0,1,0,4,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000683,U000671,"/czechia-doctors/mudr-libor-hlavaty,esp,0,1,0,4,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000684,U000671,"/czechia-doctors/mudr-libor-hlavaty,fra,0,1,0,11,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
U000685,U000671,"/czechia-doctors/mudr-libor-hlavaty,gbr,0,1,0,22,yes,R2026-09-15-GSC-W,America/Los_Angeles,openseo_mcp:get_search_console_performance"
