"query","page","clicks","impressions","ctr","position","start_date","end_date"
"calcular periodo menstrual","https://www.myglobalhealth.online/portugal/pt/tools/ovulation-calculator","0","1","0","65","2026-05-31","2026-08-28"
"calcular período fértil","https://www.myglobalhealth.online/ireland/pt/tools/ovulation-calculator","0","1","0","73","2026-05-31","2026-08-28"
"calcular período fértil irregular","https://www.myglobalhealth.online/portugal/pt/tools/ovulation-calculator","0","7","0","80.42857142857143","2026-05-31","2026-08-28"
"calcular semanas","https://www.myglobalhealth.online/portugal/es/tools/due-date-calculator","0","2","0","57","2026-05-31","2026-08-28"
"calcular tempo gravidez","https://www.myglobalhealth.online/portugal/pt/tools/due-date-calculator","0","1","0","49","2026-05-31","2026-08-28"
"calculo ciclo menstrual","https://www.myglobalhealth.online/portugal/pt/tools/ovulation-calculator","0","1","0","53","2026-05-31","2026-08-28"
"calculo do periodo fertil","https://www.myglobalhealth.online/portugal/pt/tools/ovulation-calculator","0","1","0","73","2026-05-31","2026-08-28"
"calculo imc","https://www.myglobalhealth.online/portugal/pt/tools/bmi-calculator","0","1","0","55","2026-05-31","2026-08-28"
"calculo indice massa corporal","https://www.myglobalhealth.online/portugal/pt/tools/bmi-calculator","0","2","0","59.5","2026-05-31","2026-08-28"
"calculo nascimento bebe","https://www.myglobalhealth.online/portugal/pt/tools/due-date-calculator","0","1","0","57","2026-05-31","2026-08-28"
"calculo online imc","https://www.myglobalhealth.online/portugal/pt/tools/bmi-calculator","0","1","0","46","2026-05-31","2026-08-28"
"calendario da ovulação","https://www.myglobalhealth.online/portugal/pt/tools/ovulation-calculator","0","1","0","54","2026-05-31","2026-08-28"
"calendario de ovulação","https://www.myglobalhealth.online/portugal/pt/tools/ovulation-calculator","0","2","0","53","2026-05-31","2026-08-28"
"calendario fertilidade","https://www.myglobalhealth.online/portugal/pt/tools/ovulation-calculator","0","1","0","57","2026-05-31","2026-08-28"
"calendario gestacional","https://www.myglobalhealth.online/portugal/pt/tools/due-date-calculator","0","1","0","76","2026-05-31","2026-08-28"
"calendário de gravidez","https://www.myglobalhealth.online/portugal/pt/tools/due-date-calculator","0","2","0","76.5","2026-05-31","2026-08-28"
"calendário fértil","https://www.myglobalhealth.online/portugal/pt/tools/ovulation-calculator","0","1","0","81","2026-05-31","2026-08-28"
"calendário gravidez","https://www.myglobalhealth.online/portugal/pt/tools/due-date-calculator","0","1","0","77","2026-05-31","2026-08-28"
"calendário menstrual período fértil","https://www.myglobalhealth.online/portugal/pt/tools/ovulation-calculator","0","1","0","79","2026-05-31","2026-08-28"
"calendário ovulação","https://www.myglobalhealth.online/portugal/pt/tools/ovulation-calculator","0","1","0","39","2026-05-31","2026-08-28"
"calorias","https://www.myglobalhealth.online/portugal/pt/tools/calorie-calculator","0","1","0","46","2026-05-31","2026-08-28"
"calorias contador","https://www.myglobalhealth.online/portugal/pt/tools/calorie-calculator","0","1","0","40","2026-05-31","2026-08-28"
"calorias contar","https://www.myglobalhealth.online/portugal/pt/tools/calorie-calculator","0","2","0","39","2026-05-31","2026-08-28"
"calorias diárias","https://www.myglobalhealth.online/portugal/pt/tools/calorie-calculator","0","1","0","40","2026-05-31","2026-08-28"
"calorias por dia","https://www.myglobalhealth.online/portugal/pt/tools/calorie-calculator","0","1","0","44","2026-05-31","2026-08-28"
"caloriaspordia","https://www.myglobalhealth.online/portugal/pt/tools/calorie-calculator","0","1","0","9","2026-05-31","2026-08-28"
"calorie maintenance calculator under 18","https://www.myglobalhealth.online/ireland/en/tools/calorie-calculator","0","1","0","9","2026-05-31","2026-08-28"
"cardiologia","https://www.myglobalhealth.online/portugal/pt/services/consulta-cardiologia","0","2","0","45.5","2026-05-31","2026-08-28"
"cardiologista online","https://www.myglobalhealth.online/portugal/pt/services/consulta-cardiologia","0","1","0","8","2026-05-31","2026-08-28"
"carta condução preço","https://www.myglobalhealth.online/portugal/pt/services/certificado-medico-carta-de-conducao","0","1","0","1","2026-05-31","2026-08-28"
"carta de condução","https://www.myglobalhealth.online/portugal/pt/services/certificado-medico-carta-de-conducao","0","2","0","8","2026-05-31","2026-08-28"
"carta de condução preços","https://www.myglobalhealth.online/portugal/pt/services/certificado-medico-carta-de-conducao","0","1","0","1","2026-05-31","2026-08-28"
"cartas de condução","https://www.myglobalhealth.online/portugal/pt/services/certificado-medico-carta-de-conducao","0","1","0","1","2026-05-31","2026-08-28"
"categoria b","https://www.myglobalhealth.online/portugal/pt/services/certificado-medico-carta-de-conducao","0","1","0","3","2026-05-31","2026-08-28"
"categoria c","https://www.myglobalhealth.online/portugal/pt/services/certificado-medico-carta-de-conducao","0","1","0","3","2026-05-31","2026-08-28"
"categoria e","https://www.myglobalhealth.online/portugal/pt/services/certificado-medico-carta-de-conducao","0","1","0","3","2026-05-31","2026-08-28"
"categorias da carta de condução","https://www.myglobalhealth.online/portugal/pt/services/certificado-medico-carta-de-conducao","0","1","0","1","2026-05-31","2026-08-28"
"centro de vacinação internacional rua da alegria porto","https://www.myglobalhealth.online/portugal/pt/services/consulta-do-viajante","0","1","0","36","2026-05-31","2026-08-28"
"certificado medico para licencia de conducir","https://www.myglobalhealth.online/es/portugal/medical-certificate-for-driving-license","0","1","0","1","2026-05-31","2026-08-28"
"ciclo menstrual calcular","https://www.myglobalhealth.online/portugal/pt/tools/ovulation-calculator","0","1","0","58","2026-05-31","2026-08-28"
"cinto sale el medico online de.vhi si mi plan no lo cubre en irlanda","https://www.myglobalhealth.online/ireland/es","0","1","0","5","2026-05-31","2026-08-28"
"cita medic","https://www.myglobalhealth.online/portugal/es/services/consulta-medica","0","1","0","8","2026-05-31","2026-08-28"
"cita medica","https://www.myglobalhealth.online/portugal/es/services/consulta-medica","0","5","0","8","2026-05-31","2026-08-28"
"cita medico","https://www.myglobalhealth.online/portugal/es","0","4","0","5","2026-05-31","2026-08-28"
"cita medico","https://www.myglobalhealth.online/portugal/es/health/atestado-medico-online","0","2","0","8","2026-05-31","2026-08-28"
"cita medico","https://www.myglobalhealth.online/portugal/es/services/consulta-medica","0","48","0","5.9375","2026-05-31","2026-08-28"
"clinic","https://www.myglobalhealth.online/portugal/pt","0","1","0","5","2026-05-31","2026-08-28"
"clinic","https://www.myglobalhealth.online/pt","0","11","0","8.363636363636363","2026-05-31","2026-08-28"
"clinic near me","https://www.myglobalhealth.online/portugal/pt","0","1","0","1","2026-05-31","2026-08-28"
